repayment_id,loan_id,payment_date,emi_amount,payment_status
170,370,2024-12-24,26243,Paid
171,947,2024-02-26,28417,Paid
172,3451,2024-03-07,8035,Paid
173,1379,2023-03-05,58661,Paid
174,187,2024-05-28,57452,Paid
175,2356,2024-08-16,45680,Paid
176,2179,2024-08-27,54968,Paid
177,1782,2023-01-10,43249,Paid
178,3017,2024-08-05,17027,Delayed
179,2703,2023-10-18,43642,Paid
180,296,2024-05-25,29564,Paid
181,703,2024-06-24,37775,Paid
182,333,2023-04-23,22902,Paid
183,157,2023-07-16,12406,Missed
184,1968,2024-09-02,6160,Paid
185,2489,2024-05-17,11159,Paid
186,2779,2024-08-18,47853,Delayed
187,1173,2024-10-10,7710,Paid
188,1863,2024-11-02,24732,Missed
189,134,2023-05-27,8285,Paid
190,2269,2024-09-20,5120,Paid
191,132,2023-06-17,49142,Paid
192,1947,2024-09-10,12737,Paid
193,750,2023-01-07,17348,Paid
194,129,2024-06-19,5160,Missed
195,653,2024-06-15,40402,Paid
196,3031,2024-12-05,6669,Paid
197,172,2024-12-19,33501,Paid
198,27,2023-11-26,26496,Delayed
199,3240,2023-01-25,30951,Paid
200,2652,2024-09-23,42359,Paid
201,1895,2024-02-04,26245,Missed
202,1525,2023-06-09,55523,Paid
203,993,2024-04-05,22119,Delayed
204,259,2024-05-14,21655,Paid
205,734,2024-08-25,49943,Delayed
206,2416,2024-03-07,15672,Paid
207,2880,2024-07-11,28032,Paid
208,1475,2023-08-08,7955,Paid
209,1357,2024-06-25,56060,Paid
210,191,2024-11-19,25457,Paid
211,455,2023-02-19,20118,Paid
212,1802,2024-07-08,21446,Paid
213,1519,2023-09-11,54421,Paid
214,116,2023-09-07,37095,Paid
215,418,2023-10-30,12018,Paid
216,2716,2024-08-17,32080,Paid
217,1569,2023-05-24,17796,Paid
218,911,2023-10-10,30729,Paid
219,33,2024-02-14,36519,Paid
220,2371,2024-01-23,44009,Delayed
221,1035,2023-06-30,52174,Paid
222,1568,2024-01-29,29113,Paid
223,498,2023-11-16,14208,Paid
224,2280,2023-08-20,38073,Delayed
225,256,2023-10-01,32745,Paid
226,2181,2023-10-10,52282,Paid
227,3477,2023-07-14,48782,Delayed
228,350,2024-09-11,14700,Missed
229,3037,2023-02-26,37600,Paid
230,1043,2024-10-31,22360,Delayed
231,2985,2023-03-19,57475,Paid
232,3072,2024-04-20,53865,Paid
233,1489,2024-04-27,30522,Paid
234,377,2023-05-25,29345,Paid
235,870,2024-11-23,31652,Missed
236,532,2024-08-25,49634,Paid
237,3262,2024-06-17,39382,Missed
238,1180,2024-04-29,20661,Paid
239,95,2023-05-27,51825,Paid
240,1794,2024-08-19,31216,Paid
241,1050,2024-08-28,53371,Paid
242,1659,2024-12-07,48893,Paid
243,3483,2024-03-13,6601,Paid
244,2216,2023-03-05,51404,Paid
245,2382,2024-03-12,26968,Missed
246,986,2024-04-26,7859,Paid
247,1028,2023-01-02,44767,Paid
248,1228,2024-07-19,28612,Paid
249,1404,2023-05-11,22039,Paid
250,2710,2023-04-28,18046,Paid
251,2309,2024-03-18,5623,Paid
252,2040,2024-11-10,48579,Delayed
253,653,2024-09-02,56427,Paid
254,3496,2024-02-24,50418,Paid
255,1313,2024-03-21,59405,Paid
256,2951,2023-03-26,38435,Delayed
257,1604,2023-06-20,17466,Paid
258,1608,2023-03-25,48258,Paid
259,2049,2023-07-29,40484,Paid
260,2239,2024-10-14,26467,Paid
261,1893,2023-11-29,22387,Missed
262,3207,2023-12-23,16656,Delayed
263,2065,2024-09-13,38719,Paid
264,1044,2024-07-29,32216,Paid
265,1358,2023-10-30,54246,Paid
266,1992,2024-08-19,21724,Delayed
267,1309,2024-04-19,29432,Delayed
268,3318,2023-01-17,19279,Paid
269,2016,2024-09-09,21572,Paid
270,1523,2024-04-23,46127,Paid
271,3062,2023-07-20,23881,Paid
272,768,2023-07-11,41961,Paid
273,3317,2023-05-07,24858,Paid
274,1657,2023-11-01,25546,Paid
275,417,2024-02-13,47120,Paid
276,297,2024-09-14,19396,Paid
277,3300,2023-05-14,7625,Paid
278,3143,2023-11-07,34021,Delayed
279,561,2023-05-20,13238,Paid
280,2715,2023-10-29,8618,Delayed
281,2011,2023-12-26,51241,Paid
282,2268,2023-09-23,20143,Delayed
283,1420,2024-05-21,43781,Paid
284,893,2024-11-13,8618,Paid
285,1830,2023-01-12,21884,Delayed
286,655,2023-02-08,27209,Paid
287,801,2023-03-05,29426,Paid
288,1831,2023-07-27,42361,Paid
289,3204,2024-04-07,8930,Paid
290,1385,2023-07-17,51423,Paid
291,1235,2023-02-22,20838,Missed
292,2587,2024-03-06,18552,Paid
293,2467,2023-05-04,25465,Delayed
294,2659,2024-12-13,58737,Paid
295,3224,2024-06-12,51150,Delayed
296,1027,2023-11-26,15853,Paid
297,1847,2024-02-21,18010,Missed
298,3472,2023-04-10,10050,Delayed
299,1098,2023-11-15,51059,Paid
300,2111,2024-09-25,33655,Paid
301,3203,2024-09-18,11053,Paid
302,797,2024-09-23,50041,Paid
303,2147,2023-08-22,47844,Paid
304,1041,2023-10-14,12593,Delayed
305,2683,2023-06-06,7888,Paid
306,2047,2024-12-24,8957,Missed
307,2424,2023-12-13,40271,Paid
308,56,2024-04-27,18250,Paid
309,2564,2023-06-15,41559,Paid
310,999,2024-10-26,13640,Paid
311,2192,2023-04-04,38121,Delayed
312,1189,2023-02-07,21476,Paid
313,84,2023-11-13,41393,Paid
314,1070,2024-03-05,25299,Paid
315,1359,2024-08-02,50555,Paid
316,1984,2024-06-05,32117,Missed
317,2987,2023-07-09,57569,Paid
318,2604,2023-12-17,26675,Missed
319,989,2024-07-16,43974,Paid
320,3090,2023-04-11,25939,Paid
321,1757,2024-07-14,29826,Paid
322,2325,2024-04-25,55127,Paid
323,965,2024-07-12,34729,Paid
324,2689,2024-04-07,10006,Paid
325,1855,2023-04-14,59964,Delayed
326,273,2024-03-15,47523,Paid
327,2303,2023-04-28,49219,Paid
328,1621,2024-12-24,23376,Paid
329,1231,2024-06-17,52836,Paid
330,2852,2024-07-13,40094,Paid
331,2522,2024-12-05,15046,Paid
332,2301,2023-02-27,22610,Paid
333,1754,2023-06-26,10442,Paid
334,2362,2023-09-02,30598,Paid
335,1977,2023-05-14,57412,Paid
336,1924,2023-11-22,12530,Paid
337,1960,2023-07-23,43267,Delayed
338,1218,2023-08-09,29384,Paid
339,1502,2023-08-18,20087,Paid
340,1200,2024-05-28,34655,Paid
341,914,2023-06-25,54436,Paid
342,2438,2024-06-25,32222,Paid
343,2808,2024-10-09,52916,Delayed
344,1064,2024-09-21,41679,Paid
345,1882,2024-03-02,55757,Paid
346,8,2024-03-08,27075,Paid
347,155,2024-03-03,13400,Paid
348,3465,2024-08-30,5055,Paid
349,2403,2023-07-24,53227,Paid
350,2404,2023-01-07,23545,Paid
351,3283,2023-07-04,44616,Missed
352,3482,2023-07-21,56324,Missed
353,875,2024-01-18,23497,Paid
354,3411,2023-01-22,29781,Missed
355,3493,2023-10-09,18097,Paid
356,3135,2023-07-03,43054,Paid
357,3267,2024-06-16,47932,Missed
358,771,2024-05-03,20713,Paid
359,1395,2023-03-01,50046,Paid
360,1830,2023-05-27,19118,Paid
361,2794,2024-07-16,56609,Missed
362,1587,2023-12-28,55461,Paid
363,2155,2024-04-22,14647,Paid
364,2133,2023-12-18,25563,Delayed
365,11,2023-04-26,59585,Paid
366,2157,2024-08-18,25041,Paid
367,2841,2024-08-02,12487,Paid
368,2932,2024-02-23,39647,Missed
369,157,2024-02-11,54123,Paid
370,2184,2023-11-18,45795,Paid
371,3254,2023-03-02,30175,Paid
372,1212,2024-01-08,56249,Paid
373,2505,2024-06-14,55396,Paid
374,3380,2023-03-06,34726,Paid
375,171,2023-12-20,16384,Paid
376,291,2023-08-27,23008,Delayed
377,55,2024-08-26,23343,Missed
378,3306,2023-01-30,39515,Paid
379,580,2024-06-04,43100,Paid
380,750,2024-11-26,55479,Paid
381,1973,2024-03-23,25291,Paid
382,2070,2023-09-14,46032,Paid
383,598,2023-06-18,22125,Paid
384,731,2024-03-30,37814,Paid
385,2943,2023-04-14,18439,Paid
386,77,2024-09-09,10670,Paid
387,3358,2023-07-31,26567,Paid
388,918,2023-12-12,58917,Missed
389,3495,2024-10-23,47069,Paid
390,2981,2024-09-15,18596,Paid
391,3034,2023-02-13,55049,Delayed
392,809,2023-07-17,16008,Paid
393,131,2024-03-06,40573,Paid
394,494,2024-04-10,10278,Paid
395,1047,2023-01-02,39667,Paid
396,2993,2023-08-01,21046,Paid
397,357,2023-02-14,20828,Paid
398,1926,2023-04-18,58778,Paid
399,2404,2023-05-20,21563,Paid
400,414,2024-02-23,54268,Missed
401,1198,2023-02-04,43890,Paid
402,1676,2024-07-07,32362,Paid
403,2889,2024-04-27,10318,Paid
404,1617,2024-11-10,34801,Paid
405,110,2023-01-13,55489,Paid
406,2495,2023-06-23,36848,Paid
407,1718,2023-12-18,8416,Missed
408,3292,2024-06-01,23216,Paid
409,2216,2023-12-04,22157,Paid
410,1957,2023-07-27,58279,Paid
411,810,2024-09-02,56498,Paid
412,633,2024-02-01,8527,Missed
413,896,2023-03-17,55495,Delayed
414,1610,2023-11-04,41722,Paid
415,2946,2023-03-06,59682,Paid
416,2215,2024-08-11,21974,Paid
417,2533,2023-07-09,41255,Missed
418,2970,2023-08-27,41745,Paid
419,1567,2024-08-07,10339,Delayed
420,2680,2023-01-29,11523,Missed
421,3197,2024-08-11,47823,Paid
422,2212,2024-02-03,16973,Paid
423,1143,2023-07-26,16745,Paid
424,2182,2024-08-18,52173,Paid
425,3437,2024-04-14,8521,Paid
426,1175,2024-08-26,41210,Paid
427,2292,2023-07-22,8028,Missed
428,1359,2023-09-01,24675,Paid
429,2077,2023-03-29,14127,Paid
430,1848,2023-10-04,25767,Paid
431,366,2023-02-01,47831,Paid
432,3287,2024-12-01,50065,Paid
433,317,2024-01-04,5732,Paid
434,2606,2024-10-07,53185,Paid
435,1102,2023-01-13,23921,Paid
436,2688,2023-11-12,50185,Paid
437,1209,2023-06-02,37699,Paid
438,2368,2023-10-14,19238,Paid
439,2262,2024-05-10,15811,Paid
440,3032,2023-09-18,58577,Paid
441,1094,2023-05-02,25188,Missed
442,1372,2024-11-28,25509,Delayed
443,203,2024-04-23,26191,Paid
444,201,2024-12-17,27730,Paid
445,132,2023-10-25,56646,Delayed
446,3130,2023-06-07,10340,Paid
447,230,2024-10-30,47461,Paid
448,2027,2024-07-21,25505,Delayed
449,1683,2023-06-09,52203,Paid
450,2923,2023-10-19,12253,Paid
451,384,2024-03-01,43578,Paid
452,160,2024-06-26,41924,Paid
453,2323,2024-10-10,27813,Delayed
454,1162,2024-11-13,37234,Paid
455,1649,2024-08-20,14806,Paid
456,86,2023-09-17,43230,Paid
457,2655,2024-07-27,16871,Paid
458,1098,2023-01-30,12439,Delayed
459,1332,2024-07-05,7725,Delayed
460,1547,2023-07-05,6196,Missed
461,1114,2024-04-13,40013,Paid
462,2716,2024-11-25,43368,Paid
463,12,2024-12-28,52319,Paid
464,1798,2023-05-25,52827,Paid
465,1791,2023-09-01,20847,Paid
466,881,2024-07-10,42700,Delayed
467,2342,2023-07-24,32411,Missed
468,1518,2024-11-27,25679,Paid
469,256,2024-12-28,17447,Paid
470,347,2023-02-16,7322,Paid
471,212,2024-05-13,47095,Paid
472,1813,2023-09-03,52119,Paid
473,2983,2023-01-10,57006,Paid
474,2295,2023-12-11,8183,Paid
475,1441,2024-11-30,17260,Paid
476,398,2024-04-27,53405,Delayed
477,2267,2024-08-18,59261,Paid
478,2445,2024-01-04,6828,Paid
479,1085,2023-10-22,40460,Paid
480,1291,2024-09-10,11213,Paid
481,1594,2024-11-28,33775,Delayed
482,1901,2024-03-22,24056,Paid
483,349,2023-04-27,19997,Paid
484,3263,2024-03-26,42796,Paid
485,2053,2024-10-29,17862,Delayed
486,2662,2023-01-22,6192,Paid
487,440,2023-06-27,14091,Paid
488,361,2024-02-24,20331,Paid
489,2819,2024-11-28,18128,Paid
490,2042,2023-05-29,39666,Paid
491,718,2024-07-25,14176,Paid
492,2923,2023-11-22,45879,Paid
493,676,2024-12-21,42926,Paid
494,2065,2024-03-29,23177,Paid
495,2119,2023-11-04,55750,Paid
496,265,2023-03-27,57729,Paid
497,141,2023-12-06,7155,Paid
498,1782,2023-07-02,5297,Paid
499,1456,2023-11-15,51705,Missed
500,238,2024-11-29,41440,Paid
501,798,2024-08-29,37869,Paid
502,733,2023-06-19,11507,Paid
503,787,2023-12-18,21985,Paid
504,2421,2023-06-14,52726,Paid
505,2778,2023-02-14,36366,Paid
506,388,2024-02-16,22611,Paid
507,496,2023-10-09,48651,Paid
508,3487,2024-12-05,27492,Missed
509,2052,2023-07-13,12410,Paid
510,2419,2023-10-15,43109,Missed
511,429,2023-03-25,39486,Paid
512,1257,2024-08-25,15822,Delayed
513,2958,2023-12-14,8702,Paid
514,1519,2024-11-24,13841,Missed
515,599,2024-08-15,38890,Delayed
516,913,2024-02-19,33975,Paid
517,2757,2024-04-09,13328,Paid
518,431,2024-01-22,19989,Paid
519,1985,2024-10-08,23189,Paid
520,3117,2023-09-01,54737,Paid
521,2418,2023-08-30,24758,Paid
522,1218,2024-03-26,10656,Paid
523,527,2024-07-24,32091,Paid
524,1828,2024-10-21,30736,Delayed
525,1884,2024-10-30,12917,Missed
526,1788,2023-07-09,54164,Paid
527,903,2023-07-13,6326,Paid
528,3126,2023-03-26,21151,Paid
529,84,2024-12-11,14161,Delayed
530,3168,2024-03-31,57433,Paid
531,2595,2023-10-20,49371,Paid
532,166,2023-03-01,58546,Paid
533,2327,2024-06-29,53751,Paid
534,519,2023-03-03,23285,Delayed
535,117,2024-06-07,45600,Paid
536,838,2023-10-30,29601,Paid
537,2214,2024-05-02,50729,Paid
538,3124,2024-07-25,23688,Missed
539,1234,2024-02-20,18693,Paid
540,460,2023-08-13,34145,Paid
541,3055,2023-04-06,58161,Paid
542,852,2024-10-22,10536,Paid
543,1220,2024-05-17,41033,Paid
544,4,2023-12-05,46094,Paid
545,48,2023-04-23,38889,Paid
546,2425,2024-09-05,9213,Paid
547,1686,2024-09-17,39383,Paid
548,118,2023-12-30,55500,Paid
549,753,2024-05-31,14843,Paid
550,2745,2023-04-18,37986,Paid
551,1347,2023-05-13,36897,Delayed
552,2167,2024-01-19,45816,Paid
553,3,2023-04-11,31135,Delayed
554,698,2024-08-15,15329,Paid
555,2323,2024-12-19,46799,Paid
556,2313,2023-01-19,5803,Paid
557,2710,2023-04-25,28622,Missed
558,2149,2023-07-06,52964,Paid
559,2945,2024-11-19,55433,Paid
560,82,2023-06-22,14493,Missed
561,1538,2024-01-31,13635,Paid
562,1787,2024-08-25,50200,Paid
563,1350,2024-06-11,5287,Paid
564,1537,2024-09-24,24789,Missed
565,1612,2024-03-14,9465,Paid
566,1831,2023-05-11,40429,Paid
567,657,2024-05-23,17788,Paid
568,3472,2023-07-31,35213,Delayed
569,837,2024-10-26,9027,Paid
570,761,2023-10-31,35155,Paid
571,2156,2024-02-22,29400,Paid
572,3430,2023-12-22,41061,Paid
573,1198,2023-04-19,19180,Missed
574,2731,2024-03-18,8066,Paid
575,45,2023-03-01,52930,Paid
576,704,2024-08-23,30273,Paid
577,1897,2024-07-04,11486,Paid
578,511,2023-03-26,19204,Paid
579,3265,2024-12-07,45709,Paid
580,193,2024-12-10,40801,Paid
581,2810,2024-05-15,9796,Paid
582,2147,2023-11-28,59558,Paid
583,2293,2023-11-08,39428,Paid
584,1693,2024-10-16,35927,Paid
585,368,2024-01-13,9304,Paid
586,3256,2023-11-29,30530,Paid
587,1203,2024-08-29,52845,Paid
588,2603,2023-04-26,14653,Paid
589,1828,2024-10-14,20299,Paid
590,520,2023-07-29,9173,Missed
591,3209,2023-01-11,52372,Paid
592,829,2023-02-22,19954,Paid
593,2619,2024-02-25,16922,Paid
594,3040,2024-08-13,31888,Paid
595,733,2024-06-04,46236,Paid
596,2138,2024-06-17,5730,Paid
597,898,2024-08-11,48891,Delayed
598,933,2023-06-09,35992,Paid
599,1626,2023-01-23,40964,Missed
600,3219,2024-02-14,52876,Paid
601,410,2023-08-23,11938,Paid
602,627,2024-10-25,24222,Paid
603,2758,2024-10-05,38470,Missed
604,2268,2024-07-14,29112,Paid
605,2875,2023-01-28,47964,Missed
606,1779,2023-07-25,11257,Missed
607,2511,2024-07-05,11585,Paid
608,1206,2023-03-07,12964,Paid
609,2689,2024-03-17,21467,Paid
610,1365,2024-07-25,10120,Delayed
611,717,2023-03-23,47025,Paid
612,2567,2023-01-06,52093,Paid
613,1718,2024-06-24,23989,Delayed
614,1371,2024-05-16,30660,Paid
615,569,2024-06-13,43942,Paid
616,2567,2024-08-19,57894,Paid
617,3051,2023-12-15,19246,Paid
618,69,2024-06-06,36100,Missed
619,58,2023-05-15,53279,Paid
620,6,2023-11-18,55119,Paid
621,909,2023-04-03,50054,Paid
622,360,2024-09-06,26674,Paid
623,2938,2024-08-13,14387,Paid
624,2740,2023-12-26,23482,Paid
625,1542,2023-03-22,5543,Paid
626,1618,2023-07-26,49393,Paid
627,1622,2023-08-19,23221,Delayed
628,1081,2023-07-05,13302,Paid
629,3280,2024-03-26,48115,Paid
630,840,2023-05-02,56502,Delayed
631,2675,2024-06-02,50193,Delayed
632,2828,2023-09-27,6202,Missed
633,1858,2024-06-30,17740,Paid
634,3399,2024-06-25,31376,Paid
635,2553,2023-05-09,9289,Paid
636,2370,2023-03-11,17066,Paid
637,3154,2023-01-07,45807,Paid
638,326,2023-04-22,24085,Paid
639,2482,2024-02-21,26386,Paid
640,2323,2024-10-11,31765,Paid
641,2068,2023-06-22,32624,Paid
642,2992,2024-05-23,46809,Paid
643,67,2023-11-17,13267,Paid
644,1039,2023-04-11,7889,Paid
645,1224,2024-12-09,19749,Paid
646,484,2023-01-16,39526,Paid
647,703,2024-10-28,42791,Paid
648,2333,2024-01-19,20997,Paid
649,2994,2024-05-22,56890,Paid
650,3231,2024-09-12,57623,Paid
651,1989,2023-06-11,34275,Paid
652,1707,2023-01-29,11685,Paid
653,3461,2023-02-24,45122,Paid
654,3114,2024-07-04,39791,Delayed
655,1947,2023-06-17,47375,Paid
656,2173,2024-10-02,40784,Paid
657,27,2024-10-21,57356,Paid
658,1399,2023-12-23,13360,Paid
659,2213,2024-09-11,15953,Paid
660,2680,2024-06-02,14159,Missed
661,1282,2023-08-05,40353,Paid
662,3098,2024-11-04,17562,Delayed
663,1087,2023-08-14,27807,Paid
664,2762,2024-05-24,12714,Paid
665,322,2024-08-26,37871,Paid
666,2291,2023-10-26,53635,Paid
667,3444,2024-04-11,53775,Paid
668,297,2024-11-27,34691,Paid
669,556,2024-05-03,32938,Paid
670,1494,2024-07-17,5893,Missed
671,2044,2024-03-23,51473,Paid
672,3230,2024-12-07,40223,Paid
673,1741,2024-05-26,14082,Paid
674,1486,2024-06-04,29661,Paid
675,2756,2024-02-16,55487,Paid
676,1076,2024-12-03,58072,Paid
677,1849,2024-02-03,32495,Missed
678,3499,2023-06-11,21185,Paid
679,208,2023-02-27,14343,Paid
680,425,2023-03-08,59964,Paid
681,3007,2024-11-01,51366,Paid
682,1686,2024-02-10,40964,Paid
683,398,2023-08-12,20297,Paid
684,1581,2024-05-21,38438,Paid
685,1890,2023-07-25,51201,Paid
686,3090,2023-11-08,5560,Paid
687,845,2023-03-30,16826,Paid
688,328,2024-11-30,46322,Paid
689,1360,2023-04-05,6741,Paid
690,3224,2023-06-08,40046,Paid
691,2766,2024-01-18,13902,Paid
692,375,2024-10-23,12968,Paid
693,493,2024-01-04,50938,Missed
694,54,2024-11-04,30931,Missed
695,1913,2024-10-28,14705,Delayed
696,2963,2024-02-23,12760,Paid
697,3220,2024-08-20,27855,Paid
698,3031,2023-02-28,9736,Paid
699,3326,2024-02-01,18237,Paid
700,846,2024-03-13,37258,Paid
701,3175,2024-10-11,31657,Missed
702,216,2024-10-25,18143,Paid
703,930,2024-10-21,56534,Paid
704,2851,2023-09-25,33695,Paid
705,2379,2023-02-04,33225,Paid
706,77,2023-06-03,56138,Paid
707,2872,2024-06-21,54651,Missed
708,1844,2023-02-08,24030,Paid
709,187,2024-03-01,18862,Paid
710,2200,2024-01-24,53729,Paid
711,1546,2023-01-27,27829,Paid
712,3057,2024-12-28,56749,Paid
713,2821,2023-09-12,8269,Paid
714,2370,2023-04-05,30841,Paid
715,2083,2023-02-04,59676,Paid
716,926,2023-02-07,22988,Paid
717,785,2024-12-03,17635,Paid
718,1150,2023-05-26,47995,Paid
719,2038,2023-03-24,42356,Paid
720,1141,2023-01-23,18212,Paid
721,2989,2024-05-29,48765,Paid
722,2131,2024-11-20,11026,Paid
723,1268,2024-06-16,40489,Paid
724,716,2023-01-08,56877,Paid
725,331,2023-10-01,40577,Paid
726,1866,2023-05-26,43374,Paid
727,1094,2023-01-17,36210,Missed
728,2987,2024-06-28,43564,Paid
729,2784,2023-01-07,57787,Paid
730,2614,2024-12-31,8226,Paid
731,2943,2024-11-01,37739,Delayed
732,2080,2024-05-21,56156,Paid
733,1802,2023-12-06,34666,Paid
734,2251,2023-06-18,31978,Paid
735,496,2024-06-17,16893,Paid
736,2316,2024-12-12,19335,Delayed
737,2019,2024-04-30,20871,Paid
738,2967,2023-10-19,39344,Missed
739,1852,2023-10-11,55590,Paid
740,1009,2023-08-08,58972,Paid
741,1156,2023-11-12,14364,Delayed
