transaction_id,account_id,transaction_date,transaction_type,channel,amount
101,8962,2024-08-13,Credit,IMPS,71295
102,3400,2023-11-17,Credit,UPI,3356
103,3433,2023-01-21,Debit,UPI,61659
104,5111,2023-09-09,Debit,Cash,16481
105,5927,2023-12-19,Credit,NEFT,84513
106,5814,2023-12-06,Debit,ATM,35367
107,4633,2024-11-05,Debit,Card,84375
108,1046,2023-07-08,Credit,Cash,89448
109,7215,2024-02-08,Credit,Card,69458
110,7213,2023-07-03,Credit,IMPS,1194
111,5523,2024-03-27,Credit,IMPS,3878
112,8423,2024-04-08,Credit,Cash,90190
113,1479,2024-11-03,Debit,UPI,12627
114,3311,2024-09-08,Debit,UPI,81018
115,5125,2024-06-18,Debit,Cash,79338
116,8797,2023-01-06,Debit,Card,57914
117,563,2023-12-11,Debit,UPI,60483
118,3390,2023-03-20,Debit,IMPS,55395
119,3417,2024-05-27,Credit,IMPS,52764
120,4478,2024-02-14,Debit,Card,73412
121,3925,2023-02-09,Credit,ATM,6633
122,1252,2024-10-02,Credit,IMPS,20837
123,537,2023-09-02,Credit,Card,64468
124,762,2024-07-09,Credit,Cash,18089
125,1070,2024-11-08,Credit,UPI,19316
126,6579,2024-11-11,Debit,Cash,82994
127,2837,2023-07-04,Debit,NEFT,25799
128,7437,2023-11-17,Credit,Cash,3509
129,8262,2023-03-01,Credit,Cash,31745
130,6311,2024-12-28,Credit,ATM,56890
131,5122,2024-07-10,Debit,IMPS,36082
132,7689,2024-10-18,Credit,UPI,51814
133,5122,2024-10-31,Debit,UPI,96823
134,3995,2023-09-17,Credit,Card,42558
135,5250,2023-04-20,Credit,Card,80192
136,7624,2023-02-07,Debit,Cash,47087
137,7703,2023-05-31,Debit,NEFT,46696
138,1902,2023-01-13,Credit,Cash,99934
139,5059,2024-11-17,Debit,Card,25461
140,8275,2023-10-10,Credit,IMPS,25073
141,52,2024-07-30,Credit,Card,21135
142,4152,2023-09-18,Debit,Card,78560
143,123,2023-11-15,Debit,IMPS,8182
144,528,2024-06-08,Credit,Card,35216
145,1427,2023-10-15,Debit,NEFT,41313
146,6564,2024-05-01,Credit,IMPS,62621
147,8418,2023-09-20,Credit,Cash,85037
148,7922,2024-07-22,Credit,IMPS,26992
149,7858,2023-02-13,Credit,UPI,16734
150,7690,2023-09-19,Credit,NEFT,94984
151,2526,2023-11-21,Credit,IMPS,58627
152,5255,2023-03-30,Debit,IMPS,11838
153,974,2023-01-30,Credit,Card,26241
154,1131,2023-01-03,Debit,ATM,12592
155,7714,2023-09-23,Debit,ATM,45329
156,6376,2023-03-02,Credit,Card,53835
157,1607,2024-02-24,Debit,IMPS,14183
158,8207,2024-03-24,Debit,UPI,98898
159,1711,2023-10-20,Debit,ATM,62437
160,3893,2023-04-15,Credit,UPI,97850
161,3546,2024-02-05,Credit,NEFT,98387
162,5142,2023-07-09,Debit,NEFT,71746
163,3195,2024-04-25,Credit,UPI,32458
164,7644,2023-07-05,Debit,ATM,20556
165,3526,2024-10-12,Credit,UPI,29085
166,1416,2023-05-21,Credit,NEFT,35456
167,1967,2024-06-16,Credit,NEFT,64774
168,287,2023-05-27,Debit,IMPS,21420
169,5050,2023-08-29,Credit,ATM,97817
170,7287,2024-11-24,Debit,UPI,41691
171,7757,2023-04-02,Credit,Cash,58772
172,6790,2024-03-28,Debit,Card,85615
173,5106,2024-11-23,Debit,IMPS,53444
174,126,2023-04-03,Credit,Cash,78409
175,2133,2024-08-23,Debit,UPI,6827
176,135,2023-06-14,Debit,Cash,90870
177,5918,2023-01-18,Debit,UPI,19315
178,509,2024-08-14,Debit,Card,46384
179,6666,2024-07-06,Credit,Cash,69621
180,3833,2023-03-06,Credit,ATM,49168
181,4903,2024-03-27,Debit,NEFT,35404
182,8373,2023-02-07,Credit,Cash,89036
183,3432,2023-12-21,Credit,UPI,47933
184,1078,2023-03-04,Debit,IMPS,3897
185,1356,2024-09-14,Credit,Cash,24679
186,6276,2023-09-25,Credit,UPI,83146
187,4519,2024-09-23,Credit,ATM,79991
188,6624,2024-01-06,Debit,ATM,12116
189,2313,2024-08-14,Debit,ATM,69577
190,1585,2023-04-06,Debit,NEFT,18797
191,4166,2024-08-20,Credit,NEFT,30089
192,4831,2024-05-22,Credit,NEFT,85047
193,5961,2023-04-08,Credit,IMPS,73026
194,7663,2023-05-05,Debit,Cash,95289
195,6672,2023-01-20,Credit,Cash,25710
196,8515,2024-06-21,Credit,Card,57634
197,6254,2024-03-29,Debit,IMPS,32899
198,7566,2024-04-27,Credit,Card,26077
199,1090,2023-01-05,Credit,UPI,43923
200,6911,2023-08-19,Debit,Cash,6230
201,3274,2024-12-26,Debit,UPI,78056
202,983,2024-03-07,Debit,Cash,39171
203,1150,2023-10-02,Debit,Card,61747
204,1557,2024-09-19,Debit,UPI,66156
205,5150,2023-10-17,Credit,Cash,32830
206,6724,2023-03-16,Debit,UPI,88783
207,1654,2024-12-12,Credit,Card,74870
208,1225,2024-02-02,Credit,ATM,14030
209,5936,2024-11-14,Credit,ATM,6943
210,4237,2023-02-20,Debit,UPI,74480
211,1764,2023-11-10,Credit,ATM,80913
212,1008,2024-04-23,Debit,NEFT,79394
213,8125,2024-02-24,Credit,IMPS,15647
214,4048,2024-08-31,Credit,Cash,65309
215,1161,2024-04-17,Credit,ATM,18253
216,8351,2024-06-24,Debit,ATM,28785
217,6476,2024-11-27,Debit,IMPS,47860
218,516,2024-01-27,Credit,IMPS,68259
219,3001,2024-12-16,Credit,ATM,12749
220,8086,2024-08-20,Credit,ATM,56787
221,779,2023-10-05,Credit,Cash,88994
222,5596,2023-11-15,Debit,UPI,93266
223,2875,2024-05-08,Debit,UPI,59889
224,2551,2023-05-05,Debit,NEFT,28101
225,6146,2023-06-05,Credit,UPI,67745
226,6415,2023-08-15,Debit,Cash,72818
227,6772,2024-12-08,Credit,Card,88164
228,2509,2023-05-10,Credit,Card,88767
229,6866,2024-07-06,Credit,ATM,70284
230,3566,2024-11-30,Credit,IMPS,10636
231,8831,2024-06-16,Credit,Card,64208
232,2008,2023-06-11,Debit,NEFT,15562
233,2424,2024-10-18,Credit,IMPS,29535
234,7883,2023-03-22,Credit,ATM,84093
235,1381,2024-05-14,Debit,ATM,60973
236,3355,2023-05-21,Debit,Card,56523
237,934,2023-04-14,Credit,Cash,75391
238,5675,2023-12-01,Debit,Card,23412
239,7942,2024-11-09,Debit,UPI,41997
240,4342,2023-11-10,Debit,ATM,66713
241,577,2023-08-09,Debit,ATM,44731
242,5060,2023-03-17,Debit,IMPS,15795
243,7714,2023-02-12,Credit,NEFT,35363
244,1485,2023-02-22,Credit,Cash,40410
245,2341,2024-07-04,Debit,IMPS,47761
246,5298,2023-08-24,Credit,UPI,26808
247,6028,2023-05-01,Credit,Card,21997
248,6279,2024-02-17,Credit,UPI,53928
249,1466,2024-09-09,Debit,Card,14396
250,7987,2023-05-16,Credit,Cash,44409
251,7395,2024-11-07,Debit,NEFT,65984
252,3841,2023-06-14,Debit,NEFT,9000
253,768,2024-02-09,Debit,Card,25000
254,19,2024-07-20,Credit,UPI,35985
255,2679,2024-01-31,Debit,IMPS,61400
256,6153,2024-09-27,Credit,NEFT,26546
257,2044,2023-12-26,Debit,Cash,29381
258,6332,2023-09-10,Debit,Cash,10751
259,7379,2023-07-02,Debit,Card,50493
260,8135,2023-09-15,Debit,UPI,63471
261,2217,2024-07-13,Credit,UPI,58406
262,7193,2024-09-26,Credit,UPI,25945
263,5587,2023-08-03,Debit,Cash,60709
264,5637,2024-08-24,Credit,NEFT,60495
265,8218,2023-10-30,Credit,IMPS,38403
266,7733,2024-06-27,Credit,UPI,55027
267,6524,2024-07-06,Debit,ATM,34146
268,3292,2023-04-25,Credit,Card,33747
269,8367,2023-03-02,Debit,IMPS,30509
270,5824,2023-01-29,Debit,NEFT,1836
271,4551,2024-06-10,Credit,Card,64654
272,2876,2024-07-10,Credit,ATM,11941
273,659,2024-06-14,Credit,NEFT,17526
274,1731,2023-10-27,Debit,ATM,94572
275,8761,2023-03-06,Debit,Card,574
276,6461,2023-01-09,Credit,UPI,33081
277,3211,2024-04-26,Debit,Cash,41280
278,7142,2024-07-13,Credit,UPI,3033
279,3517,2023-07-22,Credit,NEFT,56329
280,1421,2024-08-01,Credit,NEFT,34539
281,4316,2023-04-25,Credit,ATM,46222
282,240,2023-09-29,Credit,NEFT,5370
283,7554,2023-04-03,Credit,Cash,76503
284,6184,2024-08-24,Debit,IMPS,60955
285,7161,2024-05-01,Credit,NEFT,43966
286,3094,2024-11-05,Credit,IMPS,91770
287,7470,2023-03-22,Credit,UPI,72090
288,6374,2024-11-21,Credit,ATM,73994
289,4595,2024-02-23,Debit,ATM,30309
290,310,2023-04-28,Credit,ATM,79333
291,5588,2023-09-23,Debit,IMPS,75154
292,480,2023-09-30,Debit,IMPS,32030
293,4293,2023-08-27,Credit,ATM,95654
294,3830,2023-05-01,Debit,UPI,53405
295,8222,2024-06-18,Credit,ATM,94798
296,4873,2023-10-08,Debit,Card,36943
297,4905,2023-08-26,Credit,NEFT,89100
298,1317,2024-04-11,Credit,ATM,99630
299,6467,2023-01-20,Credit,IMPS,22118
300,1863,2023-09-22,Credit,NEFT,49965
301,1544,2023-09-08,Debit,ATM,3993
302,4766,2023-03-13,Debit,UPI,90942
303,6764,2024-11-05,Debit,NEFT,37898
304,8608,2024-10-08,Debit,ATM,5953
305,3074,2023-11-08,Credit,IMPS,51005
306,4165,2024-02-03,Debit,IMPS,44898
307,8445,2024-02-29,Credit,Cash,6395
308,3558,2023-11-06,Debit,ATM,76839
309,2688,2024-01-15,Debit,IMPS,80004
310,2039,2023-10-16,Credit,NEFT,38354
311,614,2024-08-08,Credit,UPI,30349
312,6042,2024-02-05,Credit,ATM,33511
313,6547,2023-02-12,Credit,Cash,5226
314,1904,2024-06-15,Debit,Card,31192
315,7733,2023-07-05,Debit,IMPS,58800
316,592,2023-07-31,Debit,NEFT,56720
317,8284,2024-07-20,Debit,UPI,6812
318,1929,2023-11-01,Debit,IMPS,41902
319,6285,2024-08-19,Debit,IMPS,23655
320,3555,2024-02-25,Credit,ATM,43576
321,4342,2023-04-18,Credit,UPI,87127
322,5624,2023-10-09,Credit,UPI,93752
323,2018,2024-10-06,Debit,Card,97109
324,8990,2023-02-04,Debit,UPI,64901
325,7589,2024-10-14,Credit,IMPS,78572
326,1332,2024-04-25,Debit,ATM,16421
327,843,2024-09-07,Debit,ATM,82193
328,739,2023-03-12,Credit,NEFT,84518
329,4895,2024-07-25,Debit,UPI,55124
330,155,2024-09-13,Debit,NEFT,6926
331,7081,2024-01-15,Credit,IMPS,33198
332,3048,2024-07-11,Debit,ATM,40381
333,7264,2024-12-04,Debit,Card,44438
334,8442,2023-10-18,Debit,Card,28403
335,6884,2023-11-27,Debit,IMPS,23403
336,7221,2023-01-27,Debit,Cash,2194
337,2013,2024-05-28,Debit,ATM,78516
338,4375,2023-02-19,Credit,Cash,46714
339,4103,2023-09-13,Debit,ATM,81957
340,8344,2024-12-11,Debit,UPI,59583
341,4234,2024-07-27,Debit,ATM,23745
342,3846,2023-10-01,Credit,Card,65294
343,8713,2023-12-24,Credit,ATM,34783
344,66,2024-11-27,Credit,ATM,29901
345,574,2023-04-19,Credit,IMPS,88261
346,16,2023-06-14,Debit,NEFT,94234
347,5848,2024-01-29,Credit,NEFT,76674
348,1551,2024-07-09,Credit,Cash,8738
349,6565,2024-12-11,Credit,Card,74706
350,4046,2024-03-30,Credit,ATM,18076
351,4942,2024-06-14,Debit,ATM,30059
352,3704,2024-11-26,Debit,Card,7922
353,5612,2024-08-31,Debit,IMPS,2637
354,8515,2023-03-18,Debit,NEFT,42125
355,5470,2024-08-25,Credit,NEFT,82647
356,8224,2023-11-15,Credit,UPI,6064
357,4633,2023-07-19,Debit,Cash,96299
358,7752,2023-01-23,Credit,Cash,18519
359,6640,2023-08-07,Credit,ATM,29517
360,2042,2023-11-24,Debit,Cash,93494
361,8994,2024-03-26,Credit,Cash,75871
362,1392,2023-09-08,Debit,Card,1709
363,2280,2023-10-28,Credit,Cash,62821
364,6907,2023-05-22,Debit,Card,20489
365,3959,2024-08-18,Credit,ATM,54358
366,3083,2023-03-24,Credit,Card,58038
367,1105,2024-07-14,Debit,UPI,81575
368,7835,2023-09-21,Credit,UPI,98012
369,5301,2023-09-01,Credit,ATM,35341
370,4953,2023-08-18,Debit,ATM,73077
371,349,2024-09-01,Debit,Cash,98642
372,4678,2023-05-02,Debit,UPI,87210
373,8059,2024-12-20,Debit,Cash,11249
374,6071,2024-06-16,Debit,Cash,27412
375,5507,2023-04-19,Credit,NEFT,10254
376,6056,2024-12-14,Debit,ATM,3765
377,1097,2023-03-22,Debit,IMPS,67448
378,4788,2023-10-28,Debit,UPI,71728
379,4148,2024-02-18,Debit,IMPS,39530
380,7900,2024-04-19,Debit,Cash,99234
381,4990,2023-12-20,Debit,NEFT,72142
382,4320,2023-02-07,Debit,NEFT,13342
383,3275,2023-09-17,Debit,Card,46321
384,5094,2023-05-13,Debit,IMPS,9639
385,595,2024-06-20,Credit,ATM,72382
386,1542,2023-04-22,Credit,Cash,78447
387,1334,2024-10-14,Debit,NEFT,74897
388,5286,2024-10-29,Debit,NEFT,7326
389,3772,2024-02-08,Credit,Cash,36476
390,3474,2023-11-21,Debit,Cash,69039
391,8036,2023-08-29,Debit,IMPS,71431
392,8552,2023-08-16,Credit,Card,76453
393,336,2024-02-02,Debit,ATM,52414
394,6976,2024-06-12,Credit,ATM,63709
395,4724,2023-05-28,Credit,NEFT,80639
396,5430,2023-10-05,Credit,UPI,45204
397,8550,2023-03-10,Credit,NEFT,55210
398,3053,2024-11-09,Credit,IMPS,38798
399,4495,2024-01-13,Credit,Cash,22870
400,6561,2023-10-13,Credit,Cash,91169
401,1866,2024-07-16,Debit,NEFT,89200
402,6261,2024-03-02,Credit,IMPS,31266
403,5129,2023-12-16,Credit,ATM,65705
404,4078,2023-03-15,Debit,ATM,42517
405,7557,2024-02-11,Debit,NEFT,30611
406,1158,2023-07-10,Debit,Card,646
407,2348,2024-04-19,Credit,ATM,78852
408,4492,2024-06-13,Debit,IMPS,34109
409,1409,2024-11-26,Debit,NEFT,26817
410,5606,2023-06-07,Debit,NEFT,26291
411,8427,2023-04-18,Credit,UPI,13533
412,6904,2024-03-15,Debit,UPI,35380
413,5825,2023-11-02,Credit,Card,20337
414,1403,2023-06-12,Credit,Cash,24927
415,1872,2023-08-25,Debit,IMPS,99429
416,8055,2024-06-27,Credit,UPI,15252
417,3993,2023-12-06,Debit,IMPS,80362
418,5102,2023-06-27,Credit,Card,97314
419,6056,2023-09-24,Debit,Card,24624
420,2112,2023-04-15,Credit,Cash,96887
421,8321,2024-05-13,Credit,NEFT,76946
422,8517,2024-02-07,Debit,ATM,76515
423,1891,2024-08-28,Credit,IMPS,78300
424,659,2024-09-16,Debit,NEFT,27736
425,7814,2023-05-09,Credit,IMPS,47087
426,5779,2023-06-08,Credit,Cash,96567
427,3203,2024-03-03,Credit,NEFT,53207
428,7323,2024-04-18,Debit,UPI,57133
429,4149,2023-11-18,Credit,UPI,58381
430,746,2023-09-10,Credit,ATM,47161
431,3684,2024-04-10,Debit,Cash,63004
432,4650,2023-03-26,Credit,Cash,58870
433,5429,2023-03-24,Credit,Cash,25353
434,1556,2024-08-31,Credit,NEFT,2090
435,7258,2024-06-04,Credit,Cash,15399
436,4264,2023-11-20,Credit,IMPS,13438
437,1504,2024-07-20,Credit,Card,77914
438,4587,2023-03-29,Credit,ATM,30790
439,4260,2024-04-03,Credit,ATM,31532
440,1185,2024-01-23,Credit,ATM,37967
441,3936,2023-01-31,Credit,NEFT,70993
442,7076,2023-04-08,Debit,NEFT,81118
443,1778,2023-07-10,Credit,Card,96713
444,4986,2023-10-20,Credit,ATM,52856
445,2800,2024-09-07,Debit,Cash,63665
446,372,2023-04-09,Debit,IMPS,10260
447,7901,2024-04-08,Debit,ATM,86687
448,6053,2023-10-15,Debit,ATM,90047
449,5639,2023-07-27,Debit,IMPS,63292
450,1185,2024-06-05,Credit,ATM,68310
451,8725,2023-10-21,Credit,IMPS,76955
452,6284,2023-09-16,Debit,ATM,39322
453,4583,2023-07-08,Credit,Cash,29893
454,4304,2023-01-15,Credit,ATM,71701
455,351,2024-10-20,Debit,ATM,63692
456,4066,2024-01-13,Debit,NEFT,6492
457,3366,2024-03-18,Debit,IMPS,17106
458,1095,2023-01-22,Credit,ATM,78034
459,2315,2023-10-26,Credit,UPI,1235
460,1574,2023-11-21,Debit,NEFT,63984
461,3086,2024-02-25,Credit,Cash,24285
462,403,2024-05-26,Credit,ATM,49505
463,7835,2024-08-01,Credit,Card,63301
464,6346,2024-04-13,Debit,ATM,87318
465,3865,2023-10-23,Credit,UPI,94470
466,2809,2024-04-26,Debit,Card,13638
467,6333,2024-11-11,Credit,Card,95437
468,6201,2023-03-31,Debit,ATM,70217
469,2659,2024-02-21,Debit,Card,21309
470,7183,2023-06-01,Credit,UPI,66778
471,5134,2024-09-09,Debit,NEFT,72766
472,5127,2023-02-19,Credit,ATM,43636
473,7534,2024-01-22,Credit,Card,97599
474,1551,2023-02-16,Debit,IMPS,14099
475,4155,2023-03-02,Credit,ATM,41364
476,2061,2024-07-03,Credit,IMPS,25979
477,7703,2023-02-07,Credit,IMPS,98265
478,1202,2024-09-30,Debit,Cash,20939
479,3333,2023-04-19,Debit,IMPS,53980
480,257,2023-10-13,Credit,Card,96909
481,2875,2024-10-01,Debit,NEFT,50480
482,2400,2024-09-12,Debit,Cash,50427
483,3007,2024-12-29,Debit,NEFT,87349
484,4810,2024-06-11,Credit,ATM,80109
485,606,2024-01-29,Debit,ATM,43906
486,3001,2023-04-25,Credit,Card,72805
487,6037,2023-11-16,Debit,IMPS,92384
488,687,2023-01-27,Debit,Card,41410
489,6439,2024-11-20,Debit,Card,11400
490,3327,2023-09-18,Credit,ATM,77166
491,7778,2024-07-24,Debit,ATM,97825
492,4948,2023-09-01,Debit,ATM,71266
493,333,2024-07-28,Credit,Cash,67137
494,1464,2024-06-08,Credit,UPI,63290
495,8762,2024-08-26,Credit,Card,29065
496,1841,2024-09-04,Debit,ATM,20531
497,1275,2023-10-31,Debit,ATM,3891
498,5207,2024-10-17,Debit,Cash,18290
499,3446,2024-11-19,Credit,UPI,67280
500,2853,2023-07-28,Credit,Card,85662
501,1790,2024-10-09,Debit,UPI,45397
502,7359,2024-07-20,Debit,UPI,82728
503,7565,2024-06-14,Debit,Cash,39076
504,8955,2024-03-11,Credit,Card,98339
505,5040,2024-04-04,Credit,ATM,34102
506,2318,2024-07-03,Credit,UPI,40485
507,4623,2024-03-12,Debit,Card,20739
508,4849,2023-08-04,Debit,Card,41828
509,7139,2023-04-25,Debit,NEFT,43531
510,604,2023-12-12,Credit,UPI,23720
511,6030,2023-01-06,Credit,NEFT,61520
512,4948,2023-05-23,Debit,IMPS,34784
513,1535,2023-09-14,Credit,UPI,66623
514,4751,2024-01-28,Credit,ATM,82009
515,8624,2023-01-18,Debit,UPI,65260
516,3462,2024-10-29,Credit,Card,77216
517,5588,2023-01-18,Credit,UPI,3840
518,6283,2024-03-02,Credit,ATM,78044
519,3131,2023-02-27,Credit,NEFT,95222
520,7132,2024-04-05,Credit,IMPS,96645
521,3196,2024-02-24,Debit,UPI,68537
522,2223,2023-11-10,Debit,Cash,87753
523,2562,2024-05-23,Credit,Cash,99115
524,1689,2024-06-11,Debit,ATM,31530
525,1807,2024-09-08,Debit,NEFT,92303
526,3601,2023-10-05,Credit,ATM,85831
527,8847,2024-08-05,Credit,Cash,7567
528,7136,2024-05-03,Credit,IMPS,67099
529,4801,2023-12-07,Credit,UPI,627
530,5610,2024-11-24,Debit,UPI,62957
531,1206,2024-10-29,Debit,NEFT,68766
532,4085,2024-06-10,Credit,Card,64910
533,1626,2023-09-30,Credit,ATM,96511
534,8030,2024-07-10,Debit,ATM,27292
535,8762,2024-07-18,Credit,Card,46137
536,3893,2023-04-15,Credit,Card,89658
537,8985,2023-03-30,Credit,IMPS,93959
538,5860,2024-12-27,Debit,Card,63025
539,2781,2024-01-02,Credit,ATM,86297
540,5296,2023-08-12,Credit,NEFT,99131
541,778,2024-12-06,Credit,UPI,84941
542,3713,2024-10-28,Credit,UPI,88398
543,344,2023-09-30,Debit,NEFT,72740
544,6366,2023-02-26,Credit,NEFT,78544
545,6436,2024-05-25,Credit,IMPS,72862
546,4737,2023-04-14,Credit,UPI,22375
547,4288,2023-08-01,Debit,Card,85471
548,3521,2024-05-30,Credit,UPI,80782
549,6747,2023-01-17,Credit,Card,72990
550,6597,2023-05-01,Debit,IMPS,291
551,3565,2024-08-08,Credit,Card,7398
552,408,2023-01-17,Credit,Card,86357
553,8712,2024-05-07,Debit,Card,2114
554,6639,2023-07-11,Credit,Card,28648
555,6124,2024-01-13,Credit,IMPS,78948
556,8865,2024-07-26,Debit,ATM,93925
557,2226,2023-01-16,Debit,IMPS,72413
558,2166,2023-06-09,Credit,Card,96896
559,6523,2023-12-02,Credit,Card,11811
560,3328,2023-12-12,Credit,UPI,30756
561,3850,2023-07-04,Debit,ATM,45030
562,6738,2023-04-16,Credit,UPI,17335
563,8600,2023-05-13,Credit,NEFT,46197
564,2956,2024-12-03,Credit,NEFT,95632
565,903,2024-05-07,Debit,NEFT,77551
566,7950,2024-06-10,Debit,Cash,82972
567,8734,2023-12-03,Debit,UPI,36540
568,7557,2023-07-24,Credit,NEFT,82485
569,5257,2024-08-08,Credit,Cash,28754
570,8113,2023-09-10,Debit,UPI,53655
571,4656,2024-01-04,Credit,NEFT,34837
572,6196,2023-09-10,Credit,UPI,73295
573,3383,2023-05-30,Debit,ATM,32339
574,3582,2024-12-28,Credit,IMPS,36680
575,684,2024-01-31,Debit,Cash,89004
576,5468,2023-06-29,Debit,UPI,27529
577,1657,2023-09-20,Debit,Card,20764
578,8648,2024-07-12,Debit,IMPS,67173
579,2296,2024-10-29,Credit,IMPS,67086
580,3798,2023-11-20,Debit,Cash,46222
581,6978,2024-06-11,Credit,Cash,29999
582,2819,2023-09-03,Credit,NEFT,37128
583,7584,2023-01-02,Credit,IMPS,45320
584,7130,2023-09-30,Credit,UPI,83160
585,4499,2024-08-18,Debit,UPI,12526
586,4238,2023-12-27,Credit,IMPS,67710
587,4050,2023-05-20,Credit,Cash,51758
588,8227,2023-07-21,Credit,Cash,57869
589,6146,2024-09-25,Debit,ATM,40607
590,3093,2024-09-13,Debit,Cash,72920
591,5915,2023-05-29,Debit,IMPS,99134
592,8196,2023-10-17,Debit,ATM,97937
593,2429,2023-09-28,Credit,UPI,14829
594,4053,2024-11-23,Debit,NEFT,81855
595,7917,2024-06-12,Credit,NEFT,89721
596,4561,2024-05-12,Debit,Card,54925
597,516,2023-03-22,Credit,ATM,44364
598,7689,2023-08-22,Debit,NEFT,71332
599,5765,2024-05-18,Debit,IMPS,25817
600,482,2024-02-29,Debit,IMPS,11297
601,8178,2024-06-06,Credit,NEFT,7791
602,444,2024-11-08,Debit,Card,92124
603,3010,2023-09-07,Debit,Card,89576
604,2334,2023-11-24,Debit,NEFT,19527
605,1318,2024-04-23,Debit,Card,29678
