loan_id,customer_id,loan_type,loan_amount,interest_rate,loan_start_date,loan_status
46,4197,Education Loan,4447089,14.06,2023-02-13,Active
47,1087,Personal Loan,866650,8.42,2018-05-20,Active
48,3665,Home Loan,3705728,13.23,2021-04-29,Active
49,4755,Education Loan,4916422,13.81,2021-10-14,Active
50,3987,Car Loan,1318923,7.93,2019-06-20,Active
51,2000,Home Loan,3654173,10.75,2018-11-23,Active
52,4503,Home Loan,676323,15.07,2021-09-23,Default
53,2364,Personal Loan,1842588,12.17,2021-10-01,Active
54,59,Home Loan,1083030,7.58,2019-10-04,Closed
55,2827,Education Loan,894422,10.56,2018-12-19,Active
56,798,Education Loan,593555,14.59,2018-07-08,Active
57,3576,Personal Loan,618118,6.89,2022-01-09,Active
58,5312,Education Loan,3861162,14.05,2020-05-28,Active
59,2597,Education Loan,3015480,13.84,2019-10-11,Closed
60,1762,Education Loan,1959676,14.04,2020-07-18,Closed
61,3013,Education Loan,4906120,9.34,2019-08-10,Default
62,1029,Car Loan,117700,8.8,2019-07-03,Active
63,256,Education Loan,1201788,10.72,2021-10-31,Closed
64,1497,Car Loan,3905747,9.62,2018-12-05,Active
65,2651,Car Loan,150107,14.9,2019-09-15,Active
66,1341,Education Loan,2210987,9.8,2019-04-29,Active
67,5781,Personal Loan,2237764,9.83,2020-11-21,Active
68,1205,Home Loan,4594088,11.23,2021-12-12,Active
69,1876,Car Loan,3203766,15.14,2021-07-21,Active
70,1964,Home Loan,3948985,12.42,2021-04-11,Active
71,1926,Car Loan,3592833,10.65,2023-01-29,Active
72,214,Car Loan,4975705,10.49,2020-10-02,Active
73,576,Personal Loan,518719,10.86,2022-09-06,Active
74,5575,Car Loan,809537,13.01,2021-10-08,Active
75,2039,Personal Loan,1335148,12.66,2021-01-25,Active
76,5175,Car Loan,3985352,9.66,2018-11-06,Active
77,2238,Car Loan,917632,14.49,2021-02-09,Active
78,1288,Car Loan,4332116,11.29,2022-07-17,Active
79,553,Personal Loan,3557023,6.92,2023-03-08,Active
80,2240,Personal Loan,1743342,14.14,2023-02-07,Active
81,5700,Home Loan,368469,10.65,2022-03-27,Active
82,5957,Education Loan,2173330,12.55,2022-03-09,Active
83,3194,Personal Loan,1459050,15.3,2020-07-03,Default
84,3513,Personal Loan,585188,13.49,2019-03-14,Active
85,176,Education Loan,977782,7.07,2019-09-30,Active
86,2742,Personal Loan,3136003,14.03,2019-03-24,Default
87,2569,Personal Loan,3085424,8.93,2021-11-22,Active
88,5352,Education Loan,1830149,9.9,2023-04-05,Closed
89,1575,Home Loan,4919860,10.81,2020-06-22,Active
90,5179,Education Loan,2993832,12.35,2022-01-19,Active
91,298,Car Loan,3560137,10.5,2018-04-23,Default
92,3204,Home Loan,906467,8.58,2020-11-23,Closed
93,614,Home Loan,1078047,12.1,2021-01-19,Active
94,4124,Home Loan,792956,9.32,2018-02-08,Closed
95,2909,Education Loan,769665,10.69,2023-02-28,Active
96,4175,Personal Loan,477662,14.0,2023-06-01,Active
97,1371,Education Loan,3030538,12.5,2023-04-11,Default
98,5730,Home Loan,3285976,6.62,2019-06-17,Active
99,504,Home Loan,3069427,9.66,2020-01-26,Active
100,2795,Home Loan,2046626,7.57,2022-05-21,Active
101,4081,Home Loan,1409868,14.38,2020-05-16,Active
102,5408,Car Loan,4162087,8.99,2022-08-20,Active
103,2157,Home Loan,1939234,7.71,2021-08-09,Active
104,2962,Personal Loan,4976078,9.42,2020-03-15,Closed
105,413,Personal Loan,1893758,10.51,2023-02-26,Active
106,3218,Home Loan,3668976,7.07,2021-07-13,Default
107,2451,Personal Loan,4981849,8.78,2019-07-07,Active
108,3704,Home Loan,1533698,14.66,2019-09-26,Default
109,1588,Car Loan,479411,7.99,2023-06-15,Active
110,209,Education Loan,2963143,14.3,2023-02-13,Closed
111,1130,Personal Loan,1404331,14.1,2021-07-30,Default
112,4242,Home Loan,4909204,8.81,2022-03-22,Active
113,1307,Personal Loan,295044,13.19,2022-10-25,Closed
114,3701,Home Loan,2412114,8.27,2021-08-09,Active
115,4364,Education Loan,2058768,9.16,2021-05-19,Closed
116,1205,Car Loan,614770,6.98,2018-11-18,Closed
117,4747,Home Loan,423629,11.3,2021-09-12,Active
118,966,Home Loan,2204812,7.43,2018-12-13,Active
119,1549,Education Loan,2379463,14.17,2022-07-24,Closed
120,3979,Car Loan,438394,7.48,2022-10-14,Active
121,1761,Education Loan,2630303,13.72,2022-11-01,Closed
122,3256,Personal Loan,4839960,15.36,2019-09-06,Default
123,3747,Education Loan,168010,11.66,2019-04-07,Closed
124,5541,Personal Loan,4274604,11.47,2022-09-06,Closed
125,1950,Education Loan,2637160,9.82,2020-03-22,Active
126,3288,Education Loan,2142708,12.41,2020-07-03,Closed
127,1260,Home Loan,335827,10.88,2020-04-07,Default
128,1297,Car Loan,2858438,10.05,2019-04-18,Active
129,5715,Personal Loan,3109074,13.95,2019-08-08,Active
130,3986,Car Loan,3800120,14.1,2021-04-23,Closed
131,4303,Personal Loan,3239952,9.04,2022-11-19,Closed
132,2218,Education Loan,1075939,13.04,2019-07-20,Closed
133,1435,Education Loan,900329,12.4,2022-06-21,Active
134,5429,Home Loan,3525023,7.65,2022-07-23,Active
135,1741,Car Loan,3578938,9.25,2023-04-02,Active
136,2565,Education Loan,637156,12.82,2022-11-19,Active
137,3034,Education Loan,3942061,6.53,2019-03-18,Active
138,5017,Home Loan,2068823,14.05,2022-10-12,Active
139,3645,Personal Loan,1060762,14.98,2018-09-06,Active
140,2976,Home Loan,4138477,9.4,2022-07-04,Active
141,2137,Education Loan,3411029,11.71,2022-01-29,Closed
142,1975,Home Loan,3215332,7.8,2021-06-24,Active
143,4512,Personal Loan,3750426,8.62,2021-11-20,Closed
144,1631,Personal Loan,3981491,12.3,2020-10-06,Default
145,5952,Personal Loan,2895840,12.41,2021-05-21,Default
146,3834,Personal Loan,4096583,11.05,2021-01-05,Closed
147,4764,Education Loan,4660195,10.56,2021-10-31,Active
148,5889,Education Loan,2647340,15.4,2022-03-25,Active
149,5993,Education Loan,3748242,14.99,2022-09-10,Active
150,1132,Home Loan,384262,13.08,2021-02-08,Closed
151,1802,Car Loan,1728039,10.7,2019-12-27,Active
152,2637,Car Loan,2181236,7.44,2020-10-05,Active
153,424,Car Loan,1061145,8.85,2018-03-17,Active
154,67,Home Loan,2241258,10.53,2023-06-06,Active
155,5992,Car Loan,1784158,10.0,2022-10-11,Active
156,1821,Car Loan,4368919,13.72,2018-04-04,Default
157,1138,Personal Loan,985901,11.52,2019-02-13,Active
158,4251,Car Loan,4654238,12.68,2019-06-21,Active
159,2040,Home Loan,2690297,6.55,2021-07-07,Closed
160,4868,Home Loan,2338746,13.78,2020-03-10,Closed
161,3750,Home Loan,1997248,14.27,2019-05-31,Closed
162,5553,Education Loan,3564912,6.91,2018-12-30,Active
163,5398,Home Loan,270901,10.89,2020-07-17,Default
164,4244,Personal Loan,224664,13.61,2022-04-20,Active
165,2188,Car Loan,3458930,8.27,2018-08-01,Active
166,74,Education Loan,4619597,8.94,2018-03-30,Active
167,1936,Personal Loan,2675697,7.02,2020-02-12,Closed
168,4770,Education Loan,2298298,13.33,2019-11-05,Active
169,794,Personal Loan,3586145,8.11,2023-04-16,Default
170,4381,Education Loan,1235104,14.96,2019-02-06,Closed
171,1638,Home Loan,2559577,11.95,2018-04-26,Active
172,2875,Car Loan,3009088,8.99,2022-07-06,Closed
173,4114,Car Loan,4886582,12.64,2020-08-16,Active
174,2861,Car Loan,4651708,12.31,2023-01-27,Active
175,2832,Personal Loan,1009725,11.47,2023-02-01,Closed
176,1504,Personal Loan,4679064,9.9,2020-08-02,Active
177,2194,Car Loan,3819410,7.72,2021-06-09,Active
178,930,Car Loan,1345518,10.89,2020-04-26,Active
179,4451,Home Loan,1731716,10.41,2021-08-20,Active
180,3179,Personal Loan,3499196,7.71,2022-01-15,Closed
181,2475,Personal Loan,2409043,15.37,2020-05-18,Active
182,4319,Personal Loan,3475690,14.95,2021-01-11,Active
183,3629,Car Loan,744722,14.42,2019-04-15,Active
184,2232,Education Loan,2738373,15.21,2019-10-26,Active
185,3647,Education Loan,4323264,14.61,2020-07-28,Default
186,4788,Home Loan,1165434,9.05,2020-08-07,Active
187,3658,Personal Loan,1462909,9.97,2019-09-19,Active
188,692,Car Loan,4501109,9.87,2021-09-29,Active
189,930,Personal Loan,524163,11.13,2023-03-03,Active
190,3460,Car Loan,602158,15.39,2019-09-11,Active
191,1876,Home Loan,1343746,7.83,2018-05-15,Active
192,18,Car Loan,4957716,15.38,2019-08-24,Active
193,4591,Personal Loan,4425165,12.23,2018-10-13,Active
194,28,Home Loan,3751055,11.73,2023-03-05,Closed
195,5130,Education Loan,4963723,11.84,2022-05-11,Closed
196,894,Home Loan,4058032,15.13,2018-04-21,Default
197,3628,Personal Loan,890084,11.2,2022-09-08,Active
198,2666,Education Loan,1803446,7.39,2021-10-29,Active
199,1035,Car Loan,4543998,12.91,2020-02-18,Closed
200,5267,Personal Loan,643871,14.68,2020-07-10,Active
201,1557,Education Loan,2023590,7.3,2023-03-26,Closed
202,1832,Home Loan,516047,7.51,2020-11-10,Active
203,5781,Car Loan,4901996,14.92,2022-07-02,Default
204,2482,Car Loan,2385594,13.95,2020-08-29,Active
205,121,Education Loan,1225623,12.17,2023-06-24,Active
206,1596,Personal Loan,1674746,10.91,2021-05-15,Active
207,2823,Personal Loan,1573031,14.78,2019-08-16,Closed
208,5646,Car Loan,4500818,11.25,2019-05-16,Closed
209,765,Car Loan,4955710,11.46,2022-04-19,Active
210,3230,Education Loan,3815095,11.78,2018-06-24,Closed
211,5120,Education Loan,4185804,9.56,2019-12-10,Closed
212,3069,Home Loan,4500781,8.54,2018-08-26,Active
213,5098,Home Loan,2069821,6.66,2019-06-27,Closed
214,3779,Personal Loan,770778,11.35,2023-02-16,Active
215,3071,Personal Loan,2174272,9.09,2019-12-01,Active
216,5930,Education Loan,762677,7.48,2021-11-13,Active
217,4112,Home Loan,1590140,10.41,2018-12-23,Default
218,2435,Personal Loan,4043905,7.63,2022-10-18,Default
219,1650,Home Loan,417336,14.6,2019-10-29,Active
220,5074,Personal Loan,1921548,12.75,2022-01-07,Active
221,4485,Education Loan,242596,13.52,2022-05-27,Active
222,3255,Car Loan,4576845,12.98,2023-02-19,Closed
223,1524,Car Loan,2249813,13.42,2018-12-24,Active
224,4634,Home Loan,4698715,11.47,2018-07-22,Active
225,3055,Education Loan,2451032,9.26,2018-10-18,Active
226,5748,Home Loan,2036890,8.41,2020-04-25,Active
227,3527,Car Loan,4078737,10.29,2019-07-23,Active
228,469,Education Loan,2319974,15.19,2020-09-10,Active
229,4087,Home Loan,2460933,9.56,2022-06-03,Active
230,1604,Home Loan,3815806,10.89,2019-07-31,Active
231,5506,Home Loan,998066,9.63,2020-01-31,Active
232,1519,Home Loan,4991704,11.05,2022-01-10,Active
233,2421,Car Loan,528362,7.8,2021-12-27,Active
234,5384,Education Loan,2198826,7.58,2021-02-19,Closed
235,1882,Education Loan,4621074,9.5,2021-06-14,Active
236,3285,Home Loan,2913921,7.59,2021-12-21,Active
237,788,Car Loan,2290654,10.09,2019-04-07,Active
238,4791,Home Loan,4888447,7.31,2018-03-19,Closed
239,645,Education Loan,1211255,7.09,2022-04-02,Default
240,3595,Car Loan,1768623,11.11,2019-05-18,Active
241,1385,Education Loan,3944748,15.33,2018-06-01,Active
242,3552,Home Loan,4396456,6.65,2021-11-04,Active
243,3631,Education Loan,4523928,7.65,2020-10-28,Default
244,2861,Car Loan,3130498,10.72,2020-12-02,Active
245,4658,Home Loan,3502625,8.28,2018-10-25,Active
246,4586,Personal Loan,3787697,8.44,2022-12-23,Active
247,3792,Car Loan,2422208,12.71,2018-07-13,Closed
248,5753,Home Loan,4056879,14.88,2020-02-22,Closed
249,2632,Personal Loan,3915606,15.11,2021-08-04,Closed
250,4654,Car Loan,1702873,15.28,2022-02-11,Active
251,5519,Personal Loan,4952400,10.59,2019-09-02,Active
252,1766,Education Loan,1263855,9.01,2020-03-11,Active
253,5171,Personal Loan,2865057,14.55,2021-08-08,Default
254,1595,Home Loan,1635337,13.47,2018-05-28,Closed
255,4779,Car Loan,1739730,8.99,2021-04-18,Active
256,4404,Home Loan,1146918,7.11,2021-09-21,Active
257,2483,Personal Loan,4012790,8.7,2021-09-14,Active
258,3055,Car Loan,1260540,10.82,2022-08-12,Active
259,3298,Education Loan,2157393,9.45,2018-09-09,Active
260,5351,Personal Loan,1634943,11.0,2022-04-18,Active
261,1283,Personal Loan,2743559,7.17,2019-08-15,Active
262,2917,Home Loan,2023645,10.02,2023-04-30,Active
263,4540,Personal Loan,3941395,6.94,2018-05-16,Active
264,490,Car Loan,2130568,13.85,2022-05-20,Active
265,5812,Education Loan,1134922,14.56,2021-03-01,Active
266,4738,Personal Loan,3640766,15.29,2022-01-22,Active
267,5483,Personal Loan,191267,15.13,2022-05-31,Active
268,546,Car Loan,683915,11.07,2019-02-20,Closed
269,387,Home Loan,4494411,7.46,2021-02-05,Default
270,5340,Home Loan,3906101,7.69,2020-08-30,Closed
271,1770,Car Loan,918553,6.74,2021-09-21,Active
272,5866,Education Loan,690403,12.88,2020-10-18,Active
273,531,Personal Loan,3251761,8.42,2023-01-23,Active
274,3789,Personal Loan,4694793,11.42,2022-01-23,Active
275,227,Personal Loan,4283548,11.76,2022-10-25,Active
276,3216,Education Loan,1436663,7.94,2018-02-17,Default
277,1335,Home Loan,3637777,13.62,2022-11-23,Active
278,2997,Education Loan,2397803,14.51,2020-10-13,Active
279,3930,Education Loan,4492929,12.11,2019-01-11,Active
280,5357,Car Loan,1003332,12.44,2020-07-28,Active
281,203,Education Loan,4317337,7.0,2018-12-06,Active
282,5511,Education Loan,3370425,6.85,2022-04-23,Active
283,3364,Education Loan,3132069,14.23,2022-03-29,Active
284,151,Personal Loan,2664175,13.09,2022-01-06,Active
285,1180,Car Loan,4994575,15.29,2022-08-17,Closed
286,561,Home Loan,4104832,7.1,2019-02-22,Active
287,446,Education Loan,3803626,13.94,2022-02-02,Active
288,1498,Home Loan,1425742,13.44,2018-03-02,Closed
289,4133,Home Loan,4013984,8.7,2020-08-26,Active
290,5175,Education Loan,706248,14.2,2019-04-28,Active
291,1233,Education Loan,3017369,13.34,2021-01-25,Active
292,2805,Personal Loan,2767544,12.16,2019-04-16,Active
293,1889,Home Loan,1950558,8.55,2019-03-14,Default
294,4201,Car Loan,1687801,12.41,2018-09-22,Active
295,1524,Car Loan,2952124,14.87,2018-05-29,Active
296,1213,Home Loan,1444782,14.63,2020-02-12,Active
297,3963,Personal Loan,4044045,15.18,2021-04-15,Closed
298,1807,Personal Loan,1187779,13.1,2019-04-02,Active
299,4168,Home Loan,4128130,6.73,2023-06-09,Active
300,2624,Car Loan,311059,12.59,2021-01-04,Active
301,1292,Personal Loan,3888931,10.07,2019-06-07,Active
302,5581,Home Loan,2219251,12.1,2022-04-28,Closed
303,478,Education Loan,2054348,13.15,2023-01-11,Active
304,1945,Car Loan,3472211,9.76,2019-01-18,Active
305,2076,Home Loan,4725761,8.86,2023-05-05,Active
306,1095,Home Loan,157236,6.76,2021-06-11,Active
307,5623,Personal Loan,3308485,11.46,2022-07-30,Active
308,5316,Car Loan,1618159,7.53,2021-06-09,Closed
309,748,Education Loan,897484,12.33,2019-04-29,Closed
310,3017,Car Loan,2622488,14.14,2023-01-12,Default
311,4946,Education Loan,4317779,12.54,2019-05-05,Closed
312,2533,Home Loan,1511571,13.88,2022-03-03,Active
313,5182,Car Loan,159926,6.93,2020-07-10,Active
314,5779,Home Loan,373014,8.7,2022-03-20,Active
315,2920,Car Loan,3464495,11.11,2022-01-30,Active
316,1199,Personal Loan,2472830,7.37,2018-09-18,Active
317,1730,Education Loan,4366485,8.81,2020-10-27,Active
318,675,Home Loan,4910341,9.41,2021-12-18,Active
319,5812,Home Loan,4177292,9.85,2020-02-29,Active
320,2523,Education Loan,864837,6.51,2020-07-09,Default
321,249,Education Loan,2851168,14.61,2022-08-16,Default
322,3454,Home Loan,2463962,12.01,2021-09-27,Active
323,1765,Personal Loan,2425927,14.56,2021-10-19,Active
324,4210,Personal Loan,1939460,13.83,2018-07-06,Active
325,2342,Car Loan,1149860,12.05,2020-04-28,Active
326,1632,Education Loan,4275425,14.59,2021-10-30,Closed
327,4134,Personal Loan,1246078,11.58,2022-05-13,Active
328,715,Home Loan,4460428,11.28,2020-01-19,Active
329,2811,Education Loan,1867905,12.0,2019-04-08,Closed
330,3649,Home Loan,943142,6.98,2018-05-04,Active
331,4135,Home Loan,2281074,8.74,2018-11-23,Active
332,3284,Home Loan,1378518,11.82,2020-10-03,Active
333,507,Personal Loan,2479385,13.88,2019-11-04,Default
334,5183,Car Loan,860443,6.74,2021-01-28,Active
335,4481,Home Loan,2145278,15.17,2018-08-02,Active
336,4358,Home Loan,3291805,6.63,2022-10-13,Closed
337,4198,Personal Loan,3509452,10.64,2020-01-10,Default
338,2405,Personal Loan,3915395,15.26,2023-03-24,Closed
339,5956,Home Loan,921276,15.44,2023-06-16,Active
340,562,Personal Loan,256850,7.44,2022-09-09,Active
341,2329,Education Loan,176734,8.1,2019-04-06,Active
342,1265,Home Loan,2815262,9.03,2020-06-09,Active
343,2659,Car Loan,4925750,9.74,2018-07-23,Active
344,2881,Personal Loan,3529427,13.07,2022-02-07,Active
345,498,Home Loan,580950,13.04,2020-12-11,Active
346,42,Car Loan,2728415,8.9,2018-08-09,Active
347,1585,Car Loan,1535953,9.25,2022-02-08,Closed
348,4318,Home Loan,1690781,13.4,2022-09-01,Closed
349,2499,Education Loan,2044594,13.23,2020-05-16,Closed
350,2434,Car Loan,520498,13.95,2018-04-12,Closed
351,4864,Personal Loan,2395531,9.22,2020-10-12,Active
352,3447,Home Loan,1456694,14.78,2021-07-09,Closed
353,774,Education Loan,875002,8.46,2021-07-10,Active
354,2012,Home Loan,203720,9.49,2020-11-24,Active
355,1316,Car Loan,2286629,13.3,2020-01-23,Default
356,4946,Home Loan,3659662,8.65,2018-07-12,Active
357,2937,Education Loan,2953856,12.13,2018-03-04,Default
358,535,Car Loan,2616687,13.65,2019-05-31,Active
359,2994,Education Loan,4525838,11.16,2018-11-09,Active
360,2580,Car Loan,4686495,11.37,2019-03-26,Closed
361,5571,Personal Loan,1641015,6.66,2018-01-16,Default
362,3896,Education Loan,4395582,13.49,2021-09-07,Closed
363,4255,Car Loan,2244088,14.0,2018-06-29,Closed
364,4920,Personal Loan,3689878,14.63,2020-11-22,Active
365,3273,Personal Loan,2060191,6.57,2018-06-12,Closed
366,1741,Car Loan,782052,8.0,2020-09-27,Default
367,4300,Home Loan,4833910,6.56,2019-12-21,Active
368,1967,Home Loan,702069,10.99,2019-05-12,Active
369,2351,Car Loan,278440,10.34,2021-10-29,Closed
370,4859,Personal Loan,483610,15.38,2021-06-13,Active
371,74,Car Loan,1821335,11.77,2021-06-09,Closed
372,1462,Personal Loan,796430,13.31,2019-08-10,Closed
373,4024,Education Loan,989894,7.91,2020-12-31,Active
374,2298,Home Loan,2625040,10.87,2023-01-11,Active
375,71,Education Loan,4882584,7.29,2020-12-15,Closed
376,5045,Car Loan,2146720,7.34,2019-08-17,Active
377,1165,Car Loan,691886,15.29,2018-11-21,Closed
378,844,Personal Loan,4730583,14.73,2020-12-20,Active
379,4884,Personal Loan,240775,10.26,2021-07-14,Active
380,813,Education Loan,3510790,9.58,2020-04-23,Active
381,5351,Car Loan,3182266,14.76,2018-01-26,Active
382,4380,Home Loan,626052,13.88,2021-10-04,Closed
383,2381,Car Loan,4245067,12.55,2018-02-02,Active
384,2853,Personal Loan,4290593,12.07,2019-07-03,Active
385,4391,Personal Loan,974792,7.95,2019-08-02,Closed
386,4130,Personal Loan,4095327,7.57,2021-08-09,Default
387,3947,Personal Loan,1340696,8.78,2022-03-14,Default
388,1680,Personal Loan,2638597,15.48,2021-03-14,Active
389,4448,Personal Loan,2516157,15.06,2022-03-25,Active
390,5972,Education Loan,1288368,9.33,2021-11-20,Active
391,2363,Car Loan,3687110,12.35,2019-03-20,Default
392,2223,Car Loan,3283036,13.83,2021-01-14,Active
393,430,Education Loan,112600,11.3,2020-07-14,Active
394,555,Car Loan,767567,14.33,2023-04-02,Active
395,129,Personal Loan,3803109,9.77,2019-11-24,Active
396,3798,Car Loan,3955775,12.87,2021-05-11,Active
397,2887,Personal Loan,2601630,12.77,2020-06-07,Active
398,2808,Education Loan,4371180,9.12,2020-09-29,Closed
399,909,Home Loan,4403238,10.91,2021-10-23,Active
400,4553,Car Loan,1216414,14.87,2023-03-03,Active
401,263,Home Loan,3087271,9.12,2019-01-13,Active
402,3215,Education Loan,2308023,13.06,2022-11-26,Active
403,334,Personal Loan,3036973,8.33,2020-07-19,Closed
404,124,Home Loan,2550886,14.09,2020-06-03,Active
405,1116,Education Loan,1190403,15.38,2020-04-20,Active
406,1113,Personal Loan,1607395,9.27,2022-12-13,Active
407,1417,Home Loan,311120,12.9,2022-11-15,Active
408,1877,Car Loan,2071197,14.01,2021-07-11,Active
409,2383,Car Loan,1894717,13.84,2020-12-25,Default
410,5943,Home Loan,4018566,12.26,2019-12-18,Active
411,3808,Home Loan,1673481,8.32,2020-07-01,Closed
412,5324,Home Loan,4325810,6.83,2022-08-10,Active
413,687,Car Loan,3880618,6.51,2018-05-31,Active
414,4881,Education Loan,3078143,10.21,2020-03-15,Closed
415,442,Home Loan,2267108,12.62,2021-06-08,Active
416,2755,Car Loan,3304533,11.78,2018-09-19,Active
417,1375,Home Loan,4706023,12.13,2022-05-20,Active
418,5436,Car Loan,144860,7.29,2018-05-14,Active
419,1981,Home Loan,1733749,9.46,2021-12-10,Active
420,595,Personal Loan,3099420,7.0,2020-08-21,Active
421,5813,Car Loan,1598803,10.89,2021-04-21,Active
422,5786,Personal Loan,3271637,13.48,2018-12-20,Closed
423,3520,Personal Loan,764339,13.54,2020-06-25,Closed
424,4099,Home Loan,4495085,8.85,2018-08-10,Active
425,3260,Home Loan,2784805,12.92,2019-11-07,Active
426,4823,Home Loan,898718,8.66,2020-02-16,Closed
427,2848,Education Loan,2396498,15.11,2020-10-14,Active
428,1992,Home Loan,2864602,14.06,2019-06-19,Active
429,3309,Personal Loan,1967069,14.54,2020-12-13,Active
430,5704,Education Loan,696538,12.89,2020-02-02,Active
431,1146,Car Loan,3298471,8.76,2022-11-18,Active
432,4365,Education Loan,460616,13.12,2023-02-24,Active
433,2999,Education Loan,1794879,6.93,2020-03-02,Default
434,1150,Home Loan,736415,12.6,2020-09-10,Active
435,5317,Home Loan,1214162,9.6,2023-01-06,Active
436,115,Home Loan,4151014,7.14,2018-11-07,Closed
437,3409,Personal Loan,4638674,7.61,2020-08-30,Active
438,5363,Personal Loan,2613039,13.91,2019-02-25,Active
439,4298,Personal Loan,3625253,7.33,2021-09-27,Closed
440,3466,Education Loan,256158,9.04,2019-07-29,Active
441,5747,Home Loan,811508,14.95,2019-10-16,Closed
442,2328,Car Loan,3578708,12.35,2018-10-16,Closed
443,4447,Home Loan,1496722,6.86,2020-04-05,Active
444,4756,Home Loan,945596,7.65,2019-06-05,Active
445,5835,Personal Loan,3288208,10.61,2018-02-26,Closed
446,161,Education Loan,867563,13.62,2021-10-04,Active
447,4322,Personal Loan,4801056,9.23,2022-03-05,Active
448,2829,Home Loan,3361187,12.81,2018-11-02,Active
449,31,Car Loan,4726154,9.07,2022-06-06,Active
450,3234,Personal Loan,3269414,7.77,2021-12-01,Closed
451,4271,Education Loan,1883681,7.6,2020-07-17,Active
452,3337,Car Loan,3098624,15.15,2020-10-01,Active
453,389,Car Loan,2253257,7.6,2020-02-18,Active
454,4252,Home Loan,3425572,10.15,2018-01-23,Active
455,1721,Car Loan,3410435,12.21,2022-12-16,Closed
456,1322,Home Loan,3886966,13.06,2018-03-22,Active
457,528,Car Loan,2815315,10.93,2022-09-25,Active
458,2413,Car Loan,1161846,9.77,2018-11-29,Active
459,5193,Car Loan,1658853,12.39,2021-12-02,Default
460,1428,Car Loan,4626883,13.4,2021-09-19,Active
461,5778,Education Loan,3730442,6.88,2022-02-15,Closed
462,4872,Car Loan,2387950,12.79,2019-07-25,Active
463,1869,Personal Loan,4891821,10.2,2019-11-13,Active
464,3183,Personal Loan,3697100,6.67,2018-08-12,Active
465,2708,Car Loan,1098405,15.35,2022-09-24,Default
466,1708,Car Loan,3517990,8.34,2021-11-02,Active
467,1622,Personal Loan,2631736,8.61,2022-11-17,Active
468,783,Education Loan,1563972,11.73,2020-06-04,Active
469,2849,Car Loan,2617031,8.54,2020-12-02,Active
470,3792,Education Loan,3687140,7.85,2022-12-27,Active
471,4158,Home Loan,4411139,9.01,2021-09-20,Active
472,170,Car Loan,2363121,7.34,2018-04-27,Active
473,2598,Education Loan,1236197,7.86,2022-05-04,Active
474,3796,Education Loan,2994002,11.24,2018-06-08,Closed
475,3337,Home Loan,4107099,6.81,2022-07-02,Active
476,2052,Car Loan,4830539,9.28,2023-06-23,Active
477,148,Education Loan,3685166,9.23,2021-03-10,Active
478,5969,Car Loan,1848600,14.54,2022-06-24,Active
